# ID  RA  DEC  [Fe/H]_K  [Fe/H]_K_e  K_mean  N_ep  Period  A_tot  C_phi  S/N    
  682  17:18:55.47  -32:57:18.7  -0.792  0.045  15.510    67  0.455950  0.361  0.928  45.7
  685  17:18:57.17  -32:53:39.4  -0.502  0.058  15.781    69  0.420943  0.226  0.940  42.9
  686  17:18:57.48  -35:28:40.9  -1.316  0.032  15.176    66  0.607010  0.249  0.922  58.5
  687  17:18:57.79  -33:48:07.1  -1.466  0.054  14.968    65  0.545907  0.333  0.935  100.1
  689  17:18:58.86  -34:03:36.5  -0.886  0.074  14.236    65  0.560936  0.256  0.940  92.0
  692  17:19:00.88  -34:22:48.5  -1.919  0.050  15.046   127  0.691830  0.308  0.959  84.7
  695  17:19:02.68  -31:40:19.1  -1.375  0.051  14.242    62  0.558540  0.217  0.936  75.6
  697  17:19:03.48  -31:27:44.5  -1.427  0.017  14.679    70  0.570139  0.342  0.925  105.9
  698  17:19:03.73  -35:59:17.1  -1.270  0.192  14.712    66  0.421288  0.133  0.942  61.2
  700  17:19:04.16  -35:43:46.5  -1.380  0.014  14.896    66  0.598445  0.297  0.930  99.7
  702  17:19:04.74  -34:32:57.8  -1.978  0.047  14.796    66  0.748709  0.244  0.908  78.9
  705  17:19:05.92  -35:21:31.1  -1.574  0.027  15.352    60  0.581414  0.377  0.938  86.9
  707  17:19:08.80  -30:37:44.3  -1.404  0.031  14.610    70  0.450869  0.361  0.944  128.2
  710  17:19:11.98  -31:30:36.6  -1.353  0.024  14.659    69  0.508123  0.398  0.942  95.6
  711  17:19:12.18  -36:37:47.9  -1.443  0.017  14.108    68  0.554932  0.301  0.929  109.1
  715  17:19:14.58  -35:34:35.0  -1.587  0.043  15.212    56  0.603852  0.281  0.944  86.8
  716  17:19:15.67  -33:30:08.0  -1.551  0.036  14.725    69  0.515748  0.309  0.917  78.8
  717  17:19:16.09  -33:07:08.8  -0.959  0.216  15.343    69  0.464528  0.191  0.949  38.2
  718  17:19:16.31  -31:12:33.3  -1.380  0.020  14.500    70  0.507394  0.348  0.942  147.1
  721  17:19:17.91  -31:44:06.1  -0.692  0.073  14.352    70  0.444398  0.322  0.933  136.9
  722  17:19:20.56  -31:07:51.4  -1.578  0.059  14.621    70  0.555838  0.319  0.930  117.1
  724  17:19:21.06  -32:09:43.4  -1.197  0.090  14.692    70  0.475046  0.324  0.918  109.0
  725  17:19:21.54  -36:15:30.2  -1.447  0.025  15.894    70  0.547793  0.334  0.934  40.6
  727  17:19:23.07  -33:36:43.5  -1.415  0.063  14.743    69  0.591214  0.243  0.930  74.7
  728  17:19:23.36  -31:35:36.8  -1.426  0.057  15.594    69  0.542781  0.245  0.937  44.9
  730  17:19:23.92  -37:15:52.0  -1.487  0.025  14.839    59  0.667826  0.239  0.945  68.5
  731  17:19:24.04  -31:13:09.6  -0.441  0.048  14.749    70  0.478896  0.247  0.909  73.6
  733  17:19:24.60  -34:47:58.6  -1.170  0.034  14.775    66  0.572976  0.269  0.929  95.2
  734  17:19:24.63  -35:02:46.9  -1.553  0.057  14.980    66  0.481226  0.362  0.931  110.4
  736  17:19:25.58  -32:44:51.0  -1.766  0.064  14.754    69  0.704679  0.297  0.933  114.3
  737  17:19:25.71  -31:39:42.1  -1.217  0.040  14.625    70  0.623697  0.197  0.956  66.0
  738  17:19:26.64  -31:32:39.8  -1.361  0.044  14.581    69  0.529514  0.187  0.937  64.3
  739  17:19:28.04  -34:31:46.2  -1.414  0.029  15.008    66  0.546850  0.328  0.902  88.9
  740  17:19:28.40  -37:05:42.8  -1.225  0.052  14.707    67  0.550413  0.225  0.943  68.9
  743  17:19:29.07  -37:07:50.5  -1.558  0.048  14.630    68  0.508559  0.316  0.915  98.1
  745  17:19:30.52  -33:21:34.2  -0.572  0.036  14.896    68  0.409263  0.343  0.942  108.0
  746  17:19:30.52  -30:33:55.0  -1.043  0.190  15.465    70  0.521042  0.294  0.939  51.2
  747  17:19:30.55  -36:20:55.9  -1.291  0.070  15.951    58  0.524920  0.371  0.939  57.6
  748  17:19:33.22  -34:45:53.5  -1.499  0.061  14.723    66  0.676050  0.205  0.940  75.7
  751  17:19:33.90  -34:57:02.6  -1.353  0.041  15.652    64  0.544873  0.437  0.929  69.1
  752  17:19:34.67  -34:59:37.5  -1.330  0.064  15.645    66  0.483907  0.366  0.952  46.0
  753  17:19:35.02  -33:50:13.8  -1.501  0.030  14.406    63  0.680943  0.256  0.932  85.8
  754  17:19:35.21  -31:33:15.4  -1.132  0.049  14.331    70  0.619760  0.190  0.941  75.6
  755  17:19:35.71  -36:13:05.1  -1.261  0.022  15.502    61  0.585190  0.249  0.932  49.9
  757  17:19:36.22  -37:01:32.5  -2.400  0.074  14.363    66  0.921802  0.266  0.928  121.8
  761  17:19:40.12  -32:04:13.6  -1.274  0.016  14.152    70  0.585585  0.270  0.950  161.3
  762  17:19:40.99  -32:18:47.0  -1.884  0.102  14.174   136  0.872388  0.187  0.970  59.1
  763  17:19:41.23  -32:48:40.8  -1.720  0.074  15.019    69  0.738689  0.244  0.948  80.4
  764  17:19:41.56  -37:20:08.1  -1.657  0.072  15.285    50  0.588485  0.330  0.936  47.1
  767  17:19:43.48  -33:53:12.3  -1.167  0.047  14.753    60  0.524995  0.271  0.919  92.7
  768  17:19:43.62  -37:13:22.3  -1.412  0.063  15.554    62  0.510576  0.437  0.930  50.8
  769  17:19:44.19  -33:19:32.9  -1.278  0.029  15.068    69  0.493325  0.361  0.939  110.0
  772  17:19:46.64  -34:07:16.2  -1.379  0.021  14.941   123  0.460814  0.335  0.965  99.0
  773  17:19:46.86  -31:13:31.4  -0.919  0.114  14.165    69  0.540546  0.146  0.940  94.4
  775  17:19:48.02  -32:58:15.0  -1.647  0.057  15.263    67  0.557067  0.303  0.899  61.4
  776  17:19:48.44  -36:59:16.0  -1.590  0.087  14.519    68  0.611322  0.182  0.909  54.1
  777  17:19:50.39  -33:11:20.8  -1.544  0.066  15.939    68  0.568938  0.444  0.943  64.9
  778  17:19:50.98  -35:40:00.6  -1.585  0.031  15.207    62  0.539707  0.360  0.934  85.8
  780  17:19:52.50  -31:10:05.8  -1.090  0.085  14.973    70  0.526132  0.290  0.944  62.5
  782  17:19:53.36  -33:01:23.2  -1.184  0.020  14.629    69  0.591103  0.216  0.954  110.8
  783  17:19:53.72  -33:30:01.2  -1.013  0.134  14.935    68  0.546658  0.186  0.931  51.4
  784  17:19:55.77  -31:00:03.3  -1.042  0.191  15.380    69  0.480342  0.391  0.941  79.5
  785  17:19:56.34  -32:47:34.5  -1.404  0.071  15.583    56  0.606657  0.218  0.904  39.6
  786  17:19:56.67  -33:40:13.4  -2.052  0.074  14.589    56  0.800081  0.240  0.913  83.0
  787  17:19:56.93  -32:00:03.7  -1.339  0.016  14.869    70  0.585565  0.266  0.943  67.8
  789  17:19:58.09  -33:51:15.9  -1.701  0.047  14.783    65  0.688726  0.284  0.922  73.2
  791  17:20:01.83  -33:09:24.1  -1.352  0.045  15.105    69  0.454066  0.322  0.921  98.8
  792  17:20:01.90  -35:47:03.7  -0.713  0.099  15.244    45  0.505688  0.242  0.922  36.7
  796  17:20:03.99  -35:15:41.3  -1.959  0.057  14.882    66  0.662897  0.329  0.830  100.2
  798  17:20:04.58  -33:17:53.8  -1.170  0.175  14.499    41  0.509384  0.245  0.907  58.1
  800  17:20:05.59  -31:23:47.3  -1.420  0.037  14.790    70  0.507730  0.235  0.958  63.5
  801  17:20:06.27  -34:34:55.5  -1.242  0.020  14.956    65  0.592831  0.238  0.950  111.4
  802  17:20:06.57  -33:14:34.2  -1.793  0.032  14.402    68  0.632100  0.233  0.878  129.8
  803  17:20:06.68  -30:56:58.6  -1.350  0.047  14.768    69  0.517074  0.307  0.933  89.8
  804  17:20:08.76  -30:37:53.7  -2.020  0.031  14.016    70  0.739957  0.270  0.945  115.2
